Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point,Year
Columbus,New Mexico,2406,US-Mexico Border,Jan 2024,Trucks,1607,31.784,-107.628,POINT (-107.627948 31.783742),2024
Sweetgrass,Montana,3310,US-Canada Border,Jan 2024,Truck Containers Empty,1985,48.998,-111.96,POINT (-111.959611 48.998388),2024
Brownsville,Texas,2301,US-Mexico Border,Jan 2024,Rail Containers Empty,7712,25.952,-97.401,POINT (-97.40067 25.95155),2024
Sumas,Washington,3009,US-Canada Border,Jan 2024,Bus Passengers,327,49.002,-122.265,POINT (-122.264805 49.002388),2024
Madawaska,Maine,109,US-Canada Border,Jan 2024,Truck Containers Empty,130,47.36,-68.329,POINT (-68.328684 47.360052),2024
Dalton Cache,Alaska,3106,US-Canada Border,Jan 2024,Truck Containers Loaded,21,59.451,-136.362,POINT (-136.361944 59.450556),2024
Calexico East,California,2507,US-Mexico Border,Jan 2024,Personal Vehicle Passengers,435768,32.673,-115.388,POINT (-115.388018 32.673389),2024
Pinecreek,Minnesota,3425,US-Canada Border,Jan 2024,Personal Vehicle Passengers,188,49.0,-95.978,POINT (-95.977694 48.999916),2024
Laurier,Washington,3016,US-Canada Border,Jan 2024,Trains,4,49.0,-118.224,POINT (-118.223777 49.000083),2024
Laredo,Texas,2304,US-Mexico Border,Jan 2024,Personal Vehicles,425998,27.5,-99.507,POINT (-99.507412 27.499561),2024
Sumas,Washington,3009,US-Canada Border,Jan 2024,Buses,14,49.002,-122.265,POINT (-122.264805 49.002388),2024
Frontier,Washington,3020,US-Canada Border,Jan 2024,Bus Passengers,194,49.0,-117.832,POINT (-117.831527 49.0005),2024
Port Huron,Michigan,3802,US-Canada Border,Jan 2024,Truck Containers Empty,9154,42.999,-82.424,POINT (-82.423611 42.998611),2024
Pembina,North Dakota,3401,US-Canada Border,Jan 2024,Train Passengers,204,49.0,-97.237,POINT (-97.237036 49.000453),2024
Fort Fairfield,Maine,107,US-Canada Border,Jan 2024,Trucks,525,46.765,-67.789,POINT (-67.789471 46.765323),2024
Alcan,Alaska,3104,US-Canada Border,Jan 2024,Personal Vehicle Passengers,1054,62.615,-141.001,POINT (-141.001444 62.614961),2024
Roma,Texas,2310,US-Mexico Border,Jan 2024,Personal Vehicle Passengers,128144,26.404,-99.019,POINT (-99.018981 26.403928),2024
Trout River,New York,715,US-Canada Border,Jan 2024,Truck Containers Loaded,845,44.992,-74.308,POINT (-74.308172 44.992058),2024
Calais,Maine,115,US-Canada Border,Jan 2024,Buses,4,45.189,-67.275,POINT (-67.275381 45.188548),2024
Pinecreek,Minnesota,3425,US-Canada Border,Jan 2024,Truck Containers Loaded,4,49.0,-95.978,POINT (-95.977694 48.999916),2024
Limestone,Maine,118,US-Canada Border,Jan 2024,Personal Vehicles,716,46.925,-67.79,POINT (-67.789597 46.924555),2024
Nogales,Arizona,2604,US-Mexico Border,Jan 2024,Personal Vehicles,311743,31.333,-110.943,POINT (-110.942516 31.332839),2024
Detroit,Michigan,3801,US-Canada Border,Jan 2024,Train Passengers,292,42.332,-83.048,POINT (-83.047924 42.331685),2024
Presidio,Texas,2403,US-Mexico Border,Jan 2024,Pedestrians,16841,29.562,-104.395,POINT (-104.394907 29.561827),2024
Santa Teresa,New Mexico,2408,US-Mexico Border,Jan 2024,Pedestrians,10499,31.784,-106.679,POINT (-106.679437 31.783939),2024
Champlain Rouses Point,New York,712,US-Canada Border,Jan 2024,Bus Passengers,7704,45.009,-73.453,POINT (-73.4526634854 45.0088325953),2024
Vanceboro,Maine,105,US-Canada Border,Jan 2024,Personal Vehicle Passengers,952,45.569,-67.429,POINT (-67.428541 45.568761),2024
El Paso,Texas,2402,US-Mexico Border,Jan 2024,Personal Vehicle Passengers,955725,31.764,-106.451,POINT (-106.451188 31.764363),2024
Hidalgo,Texas,2305,US-Mexico Border,Jan 2024,Personal Vehicles,389405,26.095,-98.271,POINT (-98.271092 26.095032),2024
Jackman,Maine,104,US-Canada Border,Jan 2024,Pedestrians,87,45.806,-70.397,POINT (-70.396722 45.805661),2024
Alexandria Bay,New York,708,US-Canada Border,Jan 2024,Buses,17,44.347,-75.984,POINT (-75.983592 44.347229),2024
Oroville,Washington,3019,US-Canada Border,Jan 2024,Personal Vehicle Passengers,11836,49.0,-119.462,POINT (-119.461833 49.000083),2024
